,date,name,score,score_day_1,score_day_2,score_day_3,score_day_4,score_day_5,score_day_6,score_day_7,score_day_8,score_day_9,score_day_10,score_day_11,score_day_12,score_day_13,score_day_14
197,2016-02-27,yelp,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,-0.5,0.5,0.5,1.0,0.5510204081632653
198,2016-02-28,yelp,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,-0.5,0.5,0.5,1.0
230,2016-04-24,yelp,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,-0.5,0.5,0.5
232,2016-04-25,yelp,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,-0.5,0.5
234,2016-04-26,yelp,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,-0.5
236,2016-04-27,yelp,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333
238,2016-04-28,yelp,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143
240,2016-04-29,yelp,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333,0.3333333333333333
242,2016-04-30,yelp,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25,0.3333333333333333
244,2016-05-01,yelp,0.42857142857142855,0.8181818181818182,0.62,0.5581395348837209,0.5422343324250681,0.5583596214511041,0.4105263157894737,0.48854961832061067,0.5625,0.42857142857142855,-0.2,0.45454545454545453,0.8,1.0,0.25
